title,magnitude,date_time,Community Determined Intensity,alert,tsunami,TUSNAMI,Significance score,net,dmin,magType,depth,latitude,longitude,location,continent,country
"M 7.0 - 18 km SW of Malango, Solomon Islands",7,2022-11-22 02:03:00,8,green,Yes,1,768,us,0.509,mww,14,-9.7963,159.596,"Malango, Solomon Islands",Oceania,Solomon Islands
"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,2022-11-18 13:37:00,4,green,No,0,735,us,2.229,mww,25,-4.9559,100.738,"Bengkulu, Indonesia",Asia,Indonesia
M 7.0 - ,7,2022-11-12 07:09:00,3,green,Yes,1,755,us,3.125,mww,579,-20.0508,-178.346,,Oceania,Tonga
"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,2022-11-11 10:48:00,5,green,Yes,1,833,us,1.865,mww,37,-19.2918,-172.129,"Neiafu, Tonga",Oceania,Tonga
M 6.6 - ,6.6,2022-11-09 10:14:00,0,green,Yes,1,670,us,4.998,mww,624.464,-25.5948,178.278,,Oceania,Fiji
M 7.0 - south of the Fiji Islands,7,2022-11-09 09:51:00,4,green,Yes,1,755,us,4.578,mwb,660,-26.0442,178.381,the Fiji Islands,Oceania,Fiji
M 6.8 - south of the Fiji Islands,6.8,2022-11-09 09:38:00,1,green,Yes,1,711,us,4.678,mww,630.379,-25.9678,178.363,the Fiji Islands,Oceania,Fiji
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,2022-10-20 11:57:00,7,green,Yes,1,797,us,1.151,mww,20,7.6712,-82.3396,"Boca Chica, Panama",North America,Panama
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,2022-09-22 06:16:00,8,yellow,Yes,1,1179,us,2.137,mww,20,18.33,-102.913,"Aguililla, Mexico",North America,Mexico
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,2022-09-19 18:05:00,9,yellow,Yes,1,1799,us,1.153,mww,26.943,18.3667,-103.252,"Aguililla, Mexico",North America,Mexico
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,2022-09-18 06:44:00,9,yellow,Yes,1,887,us,0.401,mww,10,23.1444,121.307,"Yujing, Taiwan",Asia,"Taiwan, Province of China"
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,2022-09-17 13:41:00,7,green,Yes,1,756,us,0.43,mww,10,23.029,121.348,"Lugu, Taiwan",Asia,"Taiwan, Province of China"
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7,2022-09-14 11:04:00,7,green,Yes,1,761,us,2.977,mww,137,-21.2077,170.239,"Isangel, Vanuatu",Oceania,Vanuatu
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,2022-09-10 23:47:00,8,yellow,Yes,1,965,us,3.158,mww,116,-6.2237,146.471,"Kainantu, Papua New Guinea",Oceania,Papua New Guinea
"M 6.6 - 44 km SE of Kangding, China",6.6,2022-09-05 04:52:00,9,orange,No,0,1043,us,8.454,mww,12,29.7263,102.279,"Kangding, China",Asia,China
M 6.6 - south of the Kermadec Islands,6.6,2022-08-14 13:44:00,7,green,Yes,1,672,us,5.293,mww,30,-32.6922,-178.959,the Kermadec Islands,Oceania,New Zealand
"M 7.0 - 11 km NE of Bantay, Philippines",7,2022-07-27 00:43:00,9,yellow,Yes,1,1351,us,5.276,mww,33.729,17.5978,120.809,"Bantay, Philippines",Asia,Philippines
"M 6.5 - 107 km SSW of TarauacÃ¡, Brazil",6.5,2022-06-08 00:55:00,3,green,No,0,653,us,1.999,mww,622.73,-9.0618,-71.1647,"TarauacÃ¡, Brazil",South America,Brazil
"M 7.2 - 10 km W of AzÃ¡ngaro, Peru",7.2,2022-05-26 12:02:00,7,green,Yes,1,876,us,2.494,mww,236,-14.8628,-70.3081,"AzÃ¡ngaro, Peru",South America,Peru
M 6.9 - ,6.9,2022-05-19 10:13:00,2,green,Yes,1,733,us,0.371,mww,10,-54.1325,159.027,,Oceania,New Zealand
